iter	Passed	Remaining
0	1	1764
1	2	1364
2	3	1155
3	4	1029
4	4	958
5	5	907
6	6	882
7	6	861
8	7	851
9	8	833
10	9	819
11	9	805
12	10	790
13	11	782
14	11	770
15	12	760
16	12	750
17	13	747
18	14	743
19	15	736
20	15	729
21	16	723
22	16	705
23	17	700
24	17	697
25	18	693
26	19	688
27	19	687
28	20	686
29	21	683
30	21	680
31	22	679
32	23	677
33	23	676
34	24	674
35	25	674
36	25	670
37	26	668
38	27	666
39	27	663
40	28	662
41	28	660
42	29	656
43	30	655
44	30	653
45	31	652
46	32	651
47	32	649
48	33	646
49	33	643
50	34	642
51	35	640
52	35	638
53	36	637
54	37	636
55	37	635
56	38	635
57	38	633
58	39	632
59	40	633
60	41	631
61	41	630
62	42	630
63	43	629
64	43	629
65	44	628
66	45	627
67	45	625
68	46	624
69	47	624
70	47	623
71	48	622
72	48	621
73	49	620
74	50	620
75	51	620
76	51	619
77	52	619
78	53	619
79	53	618
80	54	618
81	55	616
82	55	615
83	56	614
84	57	613
85	57	612
86	58	611
87	58	610
88	59	609
89	60	609
90	61	609
91	61	608
92	62	607
93	62	606
94	63	605
95	64	605
96	64	604
97	65	604
98	66	604
99	67	604
100	67	604
101	68	603
102	69	603
103	69	602
104	70	602
105	71	601
106	71	600
107	72	599
108	73	598
109	73	597
110	74	596
111	75	595
112	75	595
113	76	594
114	77	593
115	77	592
116	78	591
117	79	590
118	79	589
119	80	589
120	81	588
121	81	588
122	82	587
123	83	587
124	83	587
125	84	588
126	85	587
127	86	587
128	86	586
129	87	585
130	88	585
131	88	584
132	89	584
133	90	583
134	91	583
135	91	582
136	92	582
137	93	581
138	93	581
139	94	581
140	95	580
141	96	581
142	96	580
143	97	580
144	98	580
145	99	579
146	99	580
147	100	579
148	101	578
149	102	578
150	102	578
151	103	577
152	104	576
153	104	576
154	105	576
155	106	575
156	107	575
157	107	574
158	108	574
159	109	573
160	109	572
161	110	572
162	111	572
163	112	572
164	113	572
165	113	571
166	114	570
167	115	570
168	115	570
169	116	569
170	117	568
171	118	568
172	118	567
173	119	566
174	120	566
175	120	565
176	121	565
177	122	564
178	122	563
179	123	562
180	124	562
181	124	561
182	125	560
183	126	560
184	126	559
185	127	558
186	128	557
187	128	556
188	129	555
189	130	554
190	130	553
191	131	553
192	132	552
193	132	551
194	133	550
195	134	549
196	134	548
197	135	548
198	135	547
199	136	546
200	137	545
201	137	545
202	138	544
203	139	543
204	139	542
205	140	541
206	141	541
207	141	540
208	142	539
209	143	539
210	143	538
211	144	537
212	145	536
213	146	536
214	146	535
215	147	534
216	147	533
217	148	533
218	149	532
219	149	531
220	150	531
221	151	529
222	151	529
223	152	528
224	153	527
225	153	526
226	154	526
227	155	525
228	155	524
229	156	523
230	157	522
231	157	522
232	158	521
233	158	520
234	159	519
235	160	518
236	160	518
237	161	517
238	162	516
239	162	516
