iter	RMSE
0	435.2001987
1	424.100498
2	414.9921052
3	405.9396833
4	397.4585516
5	389.0401391
6	381.9450554
7	373.7917333
8	366.0434703
9	360.3202859
10	352.926776
11	348.4606767
12	342.2317316
13	336.6909505
14	330.6683295
15	325.9139187
16	320.7696963
17	316.0082089
18	311.4637951
19	306.8569918
20	302.4134993
21	298.3172777
22	294.6042235
23	291.3301982
24	287.6414176
25	284.3086258
26	281.193543
27	278.1797765
28	275.768643
29	273.1976152
30	271.272841
31	269.1423125
32	266.8324635
33	264.64078
34	261.8899392
35	260.0156825
36	258.2820541
37	256.2737166
38	254.312535
39	251.9475332
40	250.3291026
41	248.723069
42	246.879316
43	245.5543364
44	243.9951802
45	242.5595002
46	241.2610362
47	239.990664
48	238.694189
49	237.5517653
50	237.2070496
51	236.4259634
52	235.6994801
53	234.2255947
54	232.5757395
55	231.8485776
56	230.9329777
57	229.6242837
58	227.9376349
59	227.191938
60	226.6020391
61	225.8760425
62	225.4004189
63	223.7449225
64	222.5872486
65	221.5328876
66	220.4868429
67	220.1153747
68	219.1822249
69	219.0134425
70	218.7193435
71	218.4467196
72	217.309013
73	216.8887552
74	216.6626344
75	216.2651235
76	215.2714183
77	214.530254
78	212.9609268
79	212.0146251
80	210.7761677
81	210.1701981
82	209.2489864
83	207.7535666
84	207.5220059
85	206.438271
86	205.2696131
87	204.0084466
88	202.6036659
89	201.4629432
90	201.1501428
91	200.7360158
92	200.3335848
93	200.092222
94	199.8510404
95	199.6218314
96	199.3873791
97	198.2688845
98	198.0448845
99	196.8023543
100	195.7740229
101	194.9403663
102	194.0745876
103	193.8547641
104	193.0466414
105	192.2058033
106	191.9693621
107	191.3240237
108	190.9437222
109	189.3373967
110	189.1313628
111	188.6822144
112	188.4880856
113	188.1272529
114	187.9433472
115	187.1532917
116	186.838494
117	186.5353646
118	186.3602492
119	186.1922409
120	186.0030414
121	185.5759686
122	185.3196445
123	184.8885222
124	184.6953983
125	183.3236267
126	181.9174571
127	181.1228145
128	180.8596334
129	179.2762744
130	179.1288609
131	178.8121274
132	178.3976475
133	178.2368103
134	176.9126415
135	176.5635024
136	176.2761991
137	174.8376558
138	174.2194405
139	172.8120456
140	172.5574149
141	172.2631888
142	172.030743
143	171.7918872
144	171.6481254
145	170.5328413
146	169.7340685
147	169.5412489
148	168.6858287
149	168.0497681
150	167.4959683
151	167.2701882
152	166.4807172
153	165.4188675
154	165.2202217
155	165.0197813
156	164.5909215
157	163.8364129
158	163.3598064
159	163.1509837
160	162.968473
161	162.237506
162	162.0459605
163	161.8612114
164	161.1193124
165	160.4008443
166	160.2254686
167	159.5909129
168	159.3985888
169	158.4563472
170	157.621407
171	156.9880655
172	156.8179254
173	156.2550945
174	156.0915041
175	155.9076158
176	155.2055254
177	154.6575499
178	154.0467413
179	153.4733127
180	153.3089479
181	153.1338865
182	152.5853248
183	152.0616008
184	151.466457
185	151.3519535
186	150.841911
187	150.731761
188	150.5910228
189	150.0472028
190	149.8667998
191	149.445537
192	148.9988189
193	148.5610435
194	147.5900692
195	147.4609579
196	146.494548
197	145.7431136
198	145.3372478
199	145.1521973
200	145.0571373
201	144.6197498
202	144.402764
203	144.159641
204	143.7444841
205	143.5912323
206	142.9042511
207	142.5506467
208	142.2958117
209	142.1866541
210	142.0810424
211	141.3366593
212	141.2396267
213	140.8343621
214	140.6913801
215	140.3326831
216	139.951507
217	139.832731
218	139.6857971
219	139.3658128
220	139.2690509
221	138.8424545
222	138.4748758
223	137.7008278
224	137.3746516
225	136.6887678
226	136.3993601
227	135.639206
228	135.1629909
229	134.6525402
230	133.9418853
231	133.4660861
232	133.3352397
233	133.2594065
234	132.6156246
235	132.2535446
236	132.1378248
237	131.8314757
238	131.7476475
239	131.5734159
240	131.3699222
241	131.2936949
242	131.2140973
243	130.7817014
244	130.4346714
245	130.2487475
246	130.016838
247	129.5531773
248	129.1632997
249	128.930259
250	128.6027634
251	128.2562938
252	127.929826
253	127.8170166
254	127.7418657
255	127.4078376
256	126.7181115
257	126.4932676
258	125.6177014
259	125.5064091
260	125.4026981
261	124.9915438
262	124.3710177
263	124.2768376
264	123.7959746
265	123.4730552
266	123.402678
267	123.3437992
268	122.8984568
269	122.2001305
270	122.1430107
271	121.8019872
272	121.4290346
273	120.9711302
274	120.7252322
275	120.6666287
276	120.573843
277	120.1041158
278	119.6991023
279	119.6181115
280	119.3058191
281	118.9386729
282	118.8769775
283	118.6437853
284	118.3235665
285	118.2533601
286	117.8649472
287	117.3773193
288	116.8538859
289	116.802955
290	116.5400794
291	116.4594869
292	116.2635468
293	115.8495366
294	115.8044057
295	115.5902786
296	115.0640003
297	114.7136387
298	114.5350519
299	114.4787743
300	114.0307097
301	113.4329867
302	113.377989
303	113.3002044
304	113.1051668
305	113.0367401
306	112.8521186
307	112.6617551
308	112.3296008
309	111.9007961
310	111.4759323
311	111.3111646
312	111.1187804
313	110.9534554
314	110.9009756
315	110.6456407
316	110.4931441
317	110.4265698
318	109.8702632
319	109.7126172
320	109.5968903
321	109.1473935
322	108.9397766
323	108.6684754
324	108.4703372
325	108.2091648
326	108.1434671
327	107.7911517
328	107.527033
329	107.3271621
330	107.2903841
331	106.7968428
332	106.2968528
333	106.0861848
334	106.0328937
335	105.9893188
336	105.6511125
337	105.0631613
338	105.0046429
339	104.4568208
340	104.3554988
341	104.0937899
342	103.7182498
343	103.6708808
344	103.4274619
345	103.2651331
346	103.0318413
347	102.8946977
348	102.8275199
349	102.4607676
350	102.1667796
351	102.1147721
352	101.7557898
353	101.5052116
354	101.4493446
355	101.2275816
356	101.0063215
357	100.5801327
358	100.4465698
359	100.3924174
360	100.3014615
361	99.9087306
362	99.85634612
363	99.45083481
364	99.21585333
365	99.09669098
366	99.05877698
367	98.87001254
368	98.71921258
369	98.67697227
370	98.63992909
371	98.301771
372	98.14694396
373	98.10638035
374	97.79002452
375	97.53662752
376	97.38385958
377	97.10114989
378	97.0027222
379	96.74438808
380	96.46462011
381	96.04587419
382	96.00118982
383	95.63511008
384	95.59656048
385	95.43672391
386	95.0957396
387	94.83288302
388	94.52837866
389	94.31593354
390	94.09979178
391	93.87238954
392	93.83581539
393	93.69673262
394	93.40056711
395	93.11272311
396	92.82763716
397	92.49382187
398	91.97531225
399	91.64346583
400	91.55768603
401	91.22440398
402	91.18865002
403	90.93802255
404	90.90338774
405	90.87124632
406	90.61160932
407	90.43536728
408	90.40392231
409	90.11380517
410	89.9357152
411	89.47926238
412	89.45353122
413	89.27149488
414	88.92574576
415	88.7522297
416	88.7156468
417	88.59759891
418	88.35533164
419	87.90526365
420	87.68626087
421	87.56199779
422	87.39302057
423	87.19106112
424	86.79419531
425	86.54252878
426	86.51235911
427	86.33976959
428	86.05102629
429	85.94381646
430	85.71752218
431	85.40517038
432	85.37192909
433	85.34180635
434	85.20220056
435	85.1648075
436	84.84390565
437	84.52574921
438	84.34585923
439	84.22357976
440	84.00477547
441	83.66570228
442	83.6291216
443	83.38069966
444	83.34352805
445	83.05650461
446	82.76736864
447	82.73896159
448	82.52981321
449	82.44001504
450	82.03334083
451	81.99262261
452	81.88911369
453	81.86737679
454	81.67744931
455	81.40924541
456	81.07876312
457	80.97806717
458	80.67601843
459	80.45277527
460	80.42083517
461	80.32662662
462	80.29813724
463	80.01880067
464	79.79217753
465	79.47792625
466	79.32466807
467	79.03197516
468	78.99344293
469	78.90235423
470	78.65861049
471	78.29782443
472	78.26903265
473	78.06923734
474	78.03933449
475	77.94682912
476	77.70672153
477	77.68052111
478	77.31021935
479	77.17438879
480	77.06625162
481	76.87461436
482	76.84359191
483	76.77270331
484	76.74762352
485	76.72305662
486	76.62102099
487	76.3837265
488	75.99171162
489	75.76727454
490	75.73671281
491	75.70180029
492	75.68617195
493	75.65224325
494	75.43007543
495	75.25543856
496	75.05321398
497	74.88547655
498	74.65825729
499	74.49794146
