iter	Passed	Remaining
0	1	648
1	2	501
2	2	398
3	2	358
4	3	329
5	3	317
6	4	300
7	4	292
8	5	289
9	5	275
10	5	265
11	6	255
12	6	245
13	6	238
14	7	232
15	7	229
16	8	228
17	8	223
18	8	220
19	9	217
20	9	212
21	9	211
22	10	208
23	10	204
24	10	202
25	10	199
26	11	196
27	11	193
28	11	191
29	12	189
30	12	187
31	12	186
32	13	185
33	13	185
34	13	185
35	14	183
36	14	181
37	14	180
38	15	179
39	15	178
40	15	177
41	16	175
42	16	173
43	16	173
44	17	172
45	17	172
46	17	171
47	18	170
48	18	171
49	18	170
50	19	169
51	19	168
52	19	167
53	20	167
54	20	166
55	21	168
56	21	168
57	22	170
58	22	170
59	23	170
60	23	169
61	24	170
62	24	169
63	24	168
64	25	167
65	25	166
66	25	166
67	26	166
68	26	165
69	26	164
70	27	164
71	27	163
72	27	162
73	28	162
74	28	162
75	28	160
76	29	159
77	29	158
78	30	160
79	30	160
80	30	159
81	31	158
82	31	157
83	31	157
84	32	156
85	32	155
86	32	154
87	32	153
88	33	152
89	33	151
90	33	150
91	33	149
92	33	148
93	34	147
94	34	146
95	34	145
96	34	145
97	35	144
98	35	143
99	35	142
100	35	142
101	36	141
102	36	140
103	36	139
104	36	139
105	37	138
106	37	138
107	38	138
108	38	138
109	39	138
110	39	137
111	39	137
112	40	137
113	40	137
114	41	137
115	41	137
116	41	137
117	42	137
118	42	136
119	42	136
120	43	135
121	43	135
122	44	134
123	44	134
124	44	134
125	45	134
126	45	133
127	45	133
128	46	133
129	46	133
130	47	133
131	47	132
132	48	132
133	48	133
134	49	132
135	49	132
136	49	132
137	50	133
138	51	133
139	51	133
140	52	132
141	52	132
142	52	132
143	53	131
144	53	131
145	54	130
146	54	130
147	54	129
148	54	129
149	54	128
150	55	127
151	55	126
152	55	126
153	55	125
154	56	124
155	56	124
156	56	123
157	56	123
158	57	122
159	57	121
160	57	121
161	57	120
162	58	120
163	58	119
164	58	118
165	58	118
166	58	117
167	59	116
168	59	116
169	59	115
170	59	115
171	59	114
172	60	113
173	60	113
174	60	112
175	60	111
176	60	111
177	61	110
178	61	110
179	61	109
180	61	109
181	62	108
182	62	108
183	62	107
184	62	106
185	63	106
186	63	105
187	63	105
188	63	104
189	63	104
190	64	103
191	64	103
192	64	102
193	64	102
194	64	101
195	65	100
196	65	100
197	65	99
198	65	99
199	65	98
200	66	98
201	66	97
202	66	97
203	66	96
204	66	96
205	67	95
206	67	95
207	67	94
208	67	94
209	68	93
210	68	93
211	68	93
212	68	92
213	68	92
214	69	91
215	69	91
216	69	90
217	69	90
218	70	90
219	70	89
220	70	89
221	70	88
222	71	88
223	71	87
224	71	87
225	71	86
226	71	86
227	72	85
228	72	85
229	72	85
230	72	84
231	72	84
232	73	83
233	73	83
234	73	82
235	73	82
236	73	81
237	73	81
238	74	80
239	74	80
240	74	80
241	74	79
242	74	79
243	75	78
244	75	78
245	75	78
246	75	77
247	76	77
248	76	76
249	76	76
250	76	76
251	76	75
252	77	75
253	77	74
254	77	74
255	77	74
256	77	73
257	78	73
258	78	72
259	78	72
260	78	72
261	78	71
262	79	71
263	79	70
264	79	70
265	79	70
266	79	69
267	80	69
268	80	68
269	80	68
270	80	68
271	80	67
272	81	67
273	81	67
274	81	66
275	81	66
276	81	65
277	82	65
278	82	65
279	82	64
280	82	64
281	82	64
282	83	63
283	83	63
284	83	62
285	83	62
286	83	62
287	84	61
288	84	61
289	84	61
290	84	60
291	84	60
292	85	60
293	85	59
294	85	59
295	85	59
296	85	58
297	86	58
298	86	57
299	86	57
300	86	57
301	86	56
302	87	56
303	87	56
304	87	55
305	87	55
306	87	55
307	87	54
308	88	54
309	88	54
310	88	53
311	88	53
312	89	53
313	89	53
314	89	52
315	89	52
316	90	52
317	90	51
318	90	51
319	90	51
320	90	50
321	91	50
322	91	50
323	91	49
324	91	49
325	91	49
326	92	48
327	92	48
328	92	48
329	92	47
330	92	47
331	93	47
332	93	46
333	93	46
334	93	46
335	93	45
336	94	45
337	94	45
338	94	44
339	94	44
340	94	44
341	94	43
342	95	43
343	95	43
344	95	42
345	95	42
346	95	42
347	96	41
348	96	41
349	96	41
350	96	41
351	97	40
352	97	40
353	97	40
354	97	39
355	97	39
356	97	39
357	98	38
358	98	38
359	98	38
360	98	38
361	99	37
362	99	37
363	99	37
364	99	36
365	99	36
366	100	36
367	100	35
368	100	35
369	100	35
370	100	35
371	100	34
372	101	34
373	101	34
374	101	33
375	101	33
376	101	33
377	102	32
378	102	32
379	102	32
380	102	32
381	103	31
382	103	31
383	103	31
384	103	31
385	104	30
386	104	30
387	104	30
388	104	29
389	104	29
390	104	29
391	105	28
392	105	28
393	105	28
394	105	28
395	105	27
396	106	27
397	106	27
398	106	26
399	106	26
400	106	26
401	107	26
402	107	25
403	107	25
404	107	25
405	107	24
406	108	24
407	108	24
408	108	24
409	108	23
410	108	23
411	109	23
412	109	23
413	109	22
414	109	22
415	109	22
416	109	21
417	110	21
418	110	21
419	110	21
420	110	20
421	110	20
422	111	20
423	111	19
424	111	19
425	111	19
426	111	19
427	112	18
428	112	18
429	112	18
430	112	18
431	112	17
432	113	17
433	113	17
434	113	16
435	113	16
436	113	16
437	114	16
438	114	15
439	114	15
440	114	15
441	114	15
442	115	14
443	115	14
444	115	14
445	115	14
446	115	13
447	116	13
448	116	13
449	116	12
450	116	12
451	117	12
452	117	12
453	117	11
454	117	11
455	117	11
456	118	11
457	118	10
458	118	10
459	118	10
460	118	10
461	119	9
462	119	9
463	119	9
464	119	9
465	119	8
466	119	8
467	120	8
468	120	7
469	120	7
470	120	7
471	120	7
472	121	6
473	121	6
474	121	6
475	121	6
476	122	5
477	122	5
478	122	5
479	122	5
480	122	4
481	123	4
482	123	4
483	123	4
484	123	3
485	123	3
486	124	3
487	124	3
488	124	2
489	124	2
490	124	2
491	124	2
492	125	1
493	125	1
494	125	1
495	125	1
496	125	0
497	126	0
498	126	0
499	126	0
