iter	Passed	Remaining
0	3	739
1	6	610
2	8	549
3	10	516
4	12	494
5	14	478
6	16	463
7	18	449
8	20	435
9	22	423
10	24	413
11	25	405
12	27	399
13	30	400
14	31	394
15	35	410
16	38	409
17	39	403
18	41	396
19	45	412
20	48	415
21	51	414
22	53	411
23	55	406
24	58	412
25	60	408
26	62	400
27	64	394
28	65	387
29	67	380
30	68	373
31	69	367
32	71	362
33	73	359
34	75	353
35	76	348
36	77	342
37	79	337
38	80	333
39	82	328
40	83	324
41	84	319
42	86	315
43	87	310
44	88	306
45	90	302
46	91	298
47	92	294
48	94	290
49	95	287
50	97	284
51	98	281
52	100	277
53	101	274
54	102	270
55	104	267
56	105	264
57	106	261
58	108	258
59	109	255
60	110	252
61	111	248
62	113	245
63	114	243
64	114	238
65	116	235
66	117	233
67	118	230
68	120	228
69	121	225
70	122	223
71	124	220
72	125	218
73	127	217
74	128	214
75	130	212
76	131	210
77	133	208
78	134	205
79	135	203
80	137	201
81	138	199
82	140	197
83	141	195
84	143	193
85	144	191
86	145	189
87	147	187
88	148	185
89	149	183
90	151	181
91	152	179
92	153	177
93	155	175
94	156	173
95	158	171
96	159	169
97	161	167
98	162	165
99	163	163
100	165	162
101	166	160
102	167	158
103	169	156
104	170	154
105	171	152
106	173	150
107	174	149
108	178	148
109	179	147
110	181	145
111	183	143
112	184	142
113	186	140
114	188	139
115	189	137
116	191	135
117	193	134
118	195	132
119	197	131
120	198	129
121	200	128
122	202	126
123	204	125
124	206	123
125	208	122
126	210	121
127	213	120
128	218	120
129	220	118
130	223	117
131	226	116
132	228	114
133	229	113
134	231	111
135	233	109
136	236	108
137	239	107
138	241	105
139	243	104
140	246	102
141	248	101
142	250	99
143	251	97
144	253	96
145	255	94
146	256	92
147	258	90
148	259	88
149	261	87
150	263	85
151	264	83
152	266	81
153	268	80
154	269	78
155	271	76
156	272	74
157	274	72
158	275	71
159	277	69
160	279	67
161	281	65
162	282	64
163	284	62
164	286	60
165	287	58
166	289	57
167	291	55
168	292	53
169	294	51
170	296	50
171	297	48
172	299	46
173	300	44
174	302	43
175	303	41
176	305	39
177	307	37
178	308	36
179	310	34
180	311	32
181	313	30
182	315	29
183	316	27
184	318	25
185	320	24
186	321	22
187	323	20
188	325	18
189	326	17
190	328	15
191	330	13
192	331	12
193	333	10
194	335	8
195	336	6
196	337	5
197	339	3
198	340	1
199	342	0
